DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
07-Apr-2026,EQ,"2,461.00","2,543.90","2,448.00","2,473.90","2,543.50","2,539.80","2,522.72","3,630.50","2,346.20","45,16,550","11,39,39,81,114.00","2,19,120"
06-Apr-2026,EQ,"2,474.00","2,482.00","2,448.20","2,450.70","2,472.00","2,473.90","2,465.46","3,630.50","2,346.20","25,72,417","6,34,21,91,751.10","1,18,175"
02-Apr-2026,EQ,"2,386.00","2,469.90","2,375.70","2,408.20","2,445.70","2,450.70","2,428.65","3,630.50","2,346.20","53,78,361","13,06,21,62,395.40","2,53,292"
01-Apr-2026,EQ,"2,429.00","2,472.00","2,397.90","2,358.90","2,411.20","2,408.20","2,433.70","3,630.50","2,346.20","41,32,661","10,05,76,37,617.80","1,47,044"
30-Mar-2026,EQ,"2,375.10","2,398.00","2,346.20","2,389.80","2,365.00","2,358.90","2,370.92","3,630.50","2,346.20","68,04,756","16,13,35,42,829.30","1,86,938"
27-Mar-2026,EQ,"2,403.90","2,422.10","2,385.00","2,377.40","2,387.50","2,389.80","2,403.64","3,710.00","2,348.00","49,79,411","11,96,86,98,699.20","2,04,594"
25-Mar-2026,EQ,"2,400.90","2,421.60","2,369.80","2,398.80","2,377.90","2,377.40","2,397.29","3,710.00","2,348.00","58,43,778","14,00,92,57,427.90","2,16,118"
24-Mar-2026,EQ,"2,404.10","2,435.40","2,379.10","2,383.80","2,400.80","2,398.80","2,405.63","3,710.00","2,348.00","34,20,182","8,22,77,06,052.40","1,74,467"
23-Mar-2026,EQ,"2,365.00","2,406.80","2,348.00","2,390.60","2,380.00","2,383.80","2,389.12","3,710.00","2,348.00","38,60,515","9,22,32,42,939.10","2,14,767"
20-Mar-2026,EQ,"2,386.00","2,407.80","2,364.20","2,356.00","2,397.60","2,390.60","2,384.64","3,710.00","2,350.20","42,06,320","10,03,05,76,230.90","1,86,293"
19-Mar-2026,EQ,"2,417.00","2,424.00","2,350.20","2,440.80","2,362.80","2,356.00","2,378.78","3,710.00","2,350.20","27,57,060","6,55,84,45,932.60","1,71,760"
18-Mar-2026,EQ,"2,410.00","2,482.90","2,410.00","2,391.70","2,439.00","2,440.80","2,457.23","3,710.00","2,360.00","30,82,388","7,57,41,39,825.80","1,49,271"
17-Mar-2026,EQ,"2,420.00","2,420.00","2,360.00","2,409.20","2,394.00","2,391.70","2,387.21","3,710.00","2,360.00","29,93,367","7,14,58,03,596.00","2,07,239"
16-Mar-2026,EQ,"2,410.00","2,425.00","2,366.10","2,410.50","2,401.00","2,409.20","2,394.18","3,710.00","2,366.10","38,07,907","9,11,68,14,433.00","1,69,215"
13-Mar-2026,EQ,"2,437.00","2,445.90","2,397.00","2,442.40","2,412.00","2,410.50","2,418.06","3,710.00","2,397.00","24,66,488","5,96,41,19,962.40","1,80,674"
